strategy,seed,noise_rate,precision,recall,f1,accuracy,fpr,n_flagged,n_positive,roc_auc,average_precision,runtime_seconds
preference_model,2,0.3,0.24,0.24,0.24,0.98575,0.007192429022082019,75,75,0.9024504731861198,0.20137753921509272,2.5936801433563232
preference_model,3,0.3,0.48,0.48,0.48,0.99025,0.004921135646687697,75,75,0.8982536277602524,0.504074332535191,2.7592790126800537
preference_model,4,0.3,0.76,0.76,0.76,0.9955,0.0022712933753943217,75,75,0.9797257623554153,0.7939457416260333,2.505350112915039
active_learning,0,0.3,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.99075,0.004668769716088328,75,75,0.978111461619348,0.5033096827324904,2.8021750450134277
active_learning,1,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9875,0.006309148264984227,75,75,0.9300340694006308,0.2818661219439311,2.755725145339966
active_learning,2,0.3,0.0,0.0,0.0,0.98125,0.00946372239747634,75,75,0.6943125131440588,0.015280432438140376,2.6768569946289062
active_learning,3,0.3,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.98625,0.00694006309148265,75,75,0.9487941114616193,0.18382837825519605,2.6937901973724365
active_learning,4,0.3,0.16,0.16,0.16,0.98425,0.007949526813880127,75,75,0.9450582544689801,0.23047185216933921,2.6902518272399902
hybrid_scoring,0,0.3,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.99425,0.0029022082018927446,75,75,0.9938675078864354,0.7913647480245587,2.439509153366089
hybrid_scoring,1,0.3,0.6266666666666667,0.6266666666666667,0.6266666666666667,0.993,0.003533123028391167,75,75,0.9867844374342798,0.7260283299717774,2.4276199340820312
hybrid_scoring,2,0.3,0.64,0.64,0.64,0.99325,0.003406940063091483,75,75,0.9599680336487908,0.6536655366766112,2.5848379135131836
hybrid_scoring,3,0.3,0.6,0.6,0.6,0.9925,0.0037854889589905363,75,75,0.9902351209253417,0.6584366194106693,2.472090005874634
hybrid_scoring,4,0.3,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.996,0.002018927444794953,75,75,0.9951310199789695,0.8575915670719738,2.423703193664551
rule_mining,0,0.3,0.96,0.96,0.96,0.99925,0.0003785488958990536,75,75,0.9797989484752893,0.9713214156471083,0.48485398292541504
rule_mining,1,0.3,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.998,0.0010094637223974764,75,75,0.9755221871713985,0.8887192239362424,0.4881429672241211
rule_mining,2,0.3,0.92,0.92,0.92,0.9985,0.0007570977917981072,75,75,0.9915272344900106,0.9660467216195543,0.46727800369262695
rule_mining,3,0.3,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.99975,0.00012618296529968455,75,75,0.9999932702418507,0.9993248945147678,0.4741549491882324
rule_mining,4,0.3,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.999,0.0005047318611987382,75,75,0.9823461619348055,0.9667684294917558,0.4732041358947754
