strategy,seed,noise_rate,n_reviews,precision,recall,f1,accuracy,fpr,n_flagged,n_positive,roc_auc,average_precision
no_hitl,0,0.2,40,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
no_hitl,0,0.2,50,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
no_hitl,0,0.2,60,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
no_hitl,0,0.2,70,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
no_hitl,0,0.2,80,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
no_hitl,1,0.2,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
no_hitl,1,0.2,10,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
no_hitl,1,0.2,20,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
no_hitl,1,0.2,30,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
no_hitl,1,0.2,40,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
no_hitl,1,0.2,50,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
no_hitl,1,0.2,60,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
no_hitl,1,0.2,70,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
no_hitl,1,0.2,80,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
preference_model,0,0.2,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
preference_model,0,0.2,10,0.12,0.12,0.12,0.9706666666666667,0.014915254237288136,50,50,0.25959661016949154,0.03370817107364671
preference_model,0,0.2,20,0.84,0.84,0.84,0.9946666666666667,0.002711864406779661,50,50,0.9672033898305085,0.8122908464379381
preference_model,0,0.2,30,0.74,0.74,0.74,0.9913333333333333,0.004406779661016949,50,50,0.8592237288135594,0.7692344663080036
