strategy,noise_rate,n_reviews,precision_mean,precision_std,count
preference_model,0.0,90,0.7831168831168831,0.05818848523953208,5
preference_model,0.0,100,0.7883116883116883,0.044184482691438945,5
preference_model,0.0,110,0.8376623376623377,0.041324422277135876,5
preference_model,0.0,120,0.8402597402597403,0.034543989813689314,5
preference_model,0.0,130,0.8727272727272727,0.02961494610647115,5
preference_model,0.0,140,0.9,0.011796040340639576,5
preference_model,0.0,150,0.909090909090909,0.013774807425711962,5
preference_model,0.0,160,0.92987012987013,0.021240814589345656,5
preference_model,0.0,170,0.9623376623376624,0.026536125638574735,5
preference_model,0.0,180,0.9844155844155844,0.003556639983799744,5
preference_model,0.0,190,0.9922077922077923,0.0029039843863634,5
preference_model,0.0,200,0.9974025974025974,0.0035566399837997755,5
rule_mining,0.0,0,0.8,0.0174239063181802,5
rule_mining,0.0,10,0.6571428571428571,0.007113279967599589,5
rule_mining,0.0,20,0.6363636363636364,0.06262110883761657,5
rule_mining,0.0,30,0.5337662337662337,0.00846649663013336,5
rule_mining,0.0,40,0.503896103896104,0.005807968772726727,5
rule_mining,0.0,50,0.6272727272727272,0.05672069558940895,5
rule_mining,0.0,60,0.6220779220779221,0.048895715836407026,5
rule_mining,0.0,70,0.648051948051948,0.07395188819484645,5
rule_mining,0.0,80,0.5558441558441558,0.16192154460786556,5
rule_mining,0.0,90,0.6701298701298701,0.15512550754114265,5
rule_mining,0.0,100,0.7142857142857142,0.1600487992709901,5
rule_mining,0.0,110,0.8142857142857143,0.03134420360038225,5
rule_mining,0.0,120,0.82987012987013,0.029184681888628845,5
rule_mining,0.0,130,0.8428571428571429,0.047805616413781726,5
rule_mining,0.0,140,0.8545454545454545,0.07340822213539006,5
rule_mining,0.0,150,0.8974025974025974,0.008466496630133309,5
rule_mining,0.0,160,0.8948051948051947,0.005432857315156311,5
rule_mining,0.0,170,0.9025974025974026,0.006493506493506521,5
rule_mining,0.0,180,0.9051948051948052,0.008711953159090078,5
rule_mining,0.0,190,0.9064935064935066,0.0035566399837997525,5
rule_mining,0.0,200,0.9129870129870131,0.005807968772726722,5
threshold_adjustment,0.0,0,0.8,0.0174239063181802,5
threshold_adjustment,0.0,10,0.8,0.0174239063181802,5
threshold_adjustment,0.0,20,0.8,0.0174239063181802,5
threshold_adjustment,0.0,30,0.8,0.0174239063181802,5
threshold_adjustment,0.0,40,0.8,0.0174239063181802,5
threshold_adjustment,0.0,50,0.8,0.0174239063181802,5
threshold_adjustment,0.0,60,0.8,0.0174239063181802,5
threshold_adjustment,0.0,70,0.8,0.0174239063181802,5
threshold_adjustment,0.0,80,0.8,0.0174239063181802,5
threshold_adjustment,0.0,90,0.8,0.0174239063181802,5
threshold_adjustment,0.0,100,0.8,0.0174239063181802,5
threshold_adjustment,0.0,110,0.8,0.0174239063181802,5
threshold_adjustment,0.0,120,0.8,0.0174239063181802,5
threshold_adjustment,0.0,130,0.8,0.0174239063181802,5
threshold_adjustment,0.0,140,0.8,0.0174239063181802,5
threshold_adjustment,0.0,150,0.8,0.0174239063181802,5
threshold_adjustment,0.0,160,0.8,0.0174239063181802,5
